12,0,5,10,17,8400,8439,8463,8473,8242,8300,8306,8347,3859,3117,3109,2055,0,0,3364,14,4
429,3,2,4,141,8100,9923,8139,8138,8135,8000,9101,9104,1055,3006,3153,3086,1042,0,3363,3,4
245,2,3,3,177,8100,8112,8143,8138,8135,8300,8316,8352,2033,3100,3152,3111,0,0,3340,4,12
64,4,4,4,11,8000,8010,9111,9105,8014,8300,8347,8304,2031,0,1412,2422,3071,1033,3340,11,4
41,1,5,6,165,8400,8437,8446,8473,8453,8300,8345,8352,0,2033,3078,3047,1033,3508,3340,4,12
517,4,11,4,33,8400,8439,8446,8429,8453,8300,8316,8347,3860,3152,2055,3024,3047,1029,3364,4,14
4,3,12,1,162,8300,8358,8304,8345,8352,8400,8473,8451,2033,3030,2055,3078,3041,2422,3363,4,14
21,9,9,0,168,8000,8005,9101,9103,8017,8200,8275,8236,1055,3508,2055,3031,3006,0,3363,4,7
24,1,3,2,139,8000,8010,9111,9105,8299,8300,8352,8345,2033,3047,3078,3067,0,0,3340,4,12
121,10,7,3,15,8100,8128,8143,8138,8135,8300,8304,8347,1400,3142,2031,3147,0,2422,3364,11,4
24,3,0,5,124,8000,8010,9111,9104,8299,8300,8352,8345,1055,2033,3047,3078,3123,1028,3340,4,12
432,0,12,4,22,8100,8112,8126,8138,8106,8300,8313,8347,3742,1033,3853,2055,0,3117,3364,14,4
112,7,3,4,179,8100,8112,8139,8138,8135,8200,8226,8210,3198,1056,3020,3089,2055,1052,3340,4,7
119,2,7,3,131,8100,9923,8139,8138,8105,8000,9104,8014,1055,3134,3004,3123,3006,3134,3340,4,7
59,4,9,4,10,8000,8010,9111,9105,8299,8300,8304,8347,2055,3193,2031,3047,1029,1413,3364,11,4
3,4,4,1,160,8400,8439,8401,8473,8451,8200,8236,8275,3111,3152,3157,1026,1028,1056,3364,4,12
235,4,9,5,25,8300,8351,8304,8345,8410,8000,9104,8009,3864,3179,3009,3134,1028,1037,3364,3,4
16,0,11,5,96,8200,8214,8226,8210,8237,8400,8453,8444,3801,3174,0,3158,3114,1052,3363,7,4
64,7,8,2,11,8000,8010,9111,9105,8014,8300,8304,8347,2421,0,1412,3047,3071,0,3340,11,4
126,5,12,3,162,8000,8010,9111,9103,8017,8300,8304,8345,2421,3071,3142,3047,3134,1033,3340,4,12
120,8,5,4,150,8000,8010,8009,9105,8299,8200,8275,8234,3082,2033,1011,3047,3110,3078,3363,6,14
268,1,6,7,207,8000,8008,8009,9104,8014,8200,8226,8210,1001,1056,0,3802,3089,3115,3340,4,12
60,6,6,3,47,8100,8112,8143,8138,8135,8200,8275,8232,1402,3157,3020,3165,1082,1033,3364,4,11
238,7,8,4,256,8000,8010,8009,9104,8299,8100,8139,8106,3142,3134,1055,3158,3033,3071,3364,14,4
25,4,10,3,45,8400,8465,8446,8473,8453,8300,8313,8345,3157,3860,2055,3047,3105,3024,3364,3,4
79,1,7,3,25,8400,8439,8463,8473,8453,8300,8313,8345,3860,3109,2424,1057,3111,3024,3364,4,3
157,4,2,6,220,8000,8010,9111,9104,8014,8100,8139,8135,3031,3091,0,3046,3006,0,3363,4,3
62,4,5,5,166,8000,8010,9111,9105,8299,8300,8304,8345,3105,3071,3153,3123,3047,1053,3340,4,12
76,3,6,3,15,8100,8128,8143,8136,8135,8200,8275,8232,3100,1414,3174,0,0,3111,3364,4,11
39,8,3,9,206,8000,8010,9111,9103,8299,8300,8352,8345,3047,2055,3153,3078,3052,1028,3363,14,4
432,2,2,3,32,8400,8465,8463,8473,8453,8100,8136,8105,3860,2031,3801,2055,3009,3742,3364,4,3
48,3,2,3,144,8000,8010,9111,9104,8299,8300,8304,8345,3153,3123,3111,3025,1033,1055,3340,12,4
427,0,4,2,19,8200,8214,8275,8210,8236,8300,8321,8347,1039,3107,2055,3174,3158,1082,3364,11,7
131,1,2,4,144,8000,8010,9111,9104,8014,8400,8401,8444,3115,0,0,3027,1082,1001,3363,4,14
429,0,2,4,211,8100,9923,8139,8138,8135,8000,9101,9104,2055,3085,3153,3006,1055,1036,3363,7,4
523,8,6,1,211,8000,8010,9101,9103,8014,8200,8275,8236,3006,3031,3085,0,3046,1055,3363,4,7
412,1,10,0,35,8400,8439,8446,8473,8451,8300,8313,8347,3117,3857,0,3107,3067,1029,3364,4,14
64,3,9,0,23,8000,8010,9111,9104,8014,8100,8138,8135,3071,0,3111,0,1029,1412,3340,11,4
57,1,11,3,86,8400,8437,8446,8473,8451,8200,8226,8210,2031,1054,3047,1057,3068,1028,3363,12,4
8,3,5,2,202,8200,8230,8275,8210,8236,8100,8139,8135,1056,2420,3152,3158,3191,3108,3340,14,4
43,1,13,5,21,8200,8229,8226,8233,8237,8300,8313,8345,3853,3107,3114,2055,3117,3174,3364,4,14
92,7,4,2,196,8000,8010,9111,9104,8299,8300,8321,8347,1055,3812,3123,3071,1055,3047,3363,4,12
157,5,3,3,188,8000,8010,9111,9104,8014,8100,8139,8135,1053,0,1029,3046,3031,3006,3363,4,14
110,3,9,5,152,8200,8229,8275,8233,8237,8300,8345,8352,2033,3179,3142,3158,3123,2055,3363,4,7
20,7,11,1,15,8400,8439,8463,8429,8453,8000,9111,9105,3065,3076,0,3047,1413,3109,3364,4,11
268,4,3,7,188,8100,8112,8139,8120,8135,8000,8009,9104,1058,3157,0,3020,3115,1056,3363,4,3
350,2,8,3,2,8200,8214,8226,8210,8237,8000,8009,8017,3114,3174,1082,3853,3113,0,3364,3,7
81,3,7,5,176,8000,8010,8009,9104,8014,8300,8304,8347,1055,3042,3105,3158,3133,3025,3363,4,12
59,5,4,3,24,8000,8010,9111,9105,8299,8100,8136,8135,3143,1413,2421,3047,3076,1057,3364,4,11
122,2,2,5,154,8000,8010,9111,9104,8299,8200,8234,8275,3078,3076,1029,1055,3047,1028,3340,6,4
106,0,9,4,50,8400,8439,8463,8473,8242,8300,8306,8316,3857,2065,3801,2055,3009,3024,3364,4,3
64,5,5,13,29,8000,8010,9111,9104,8014,8100,8139,8134,1412,3179,0,3117,1028,3134,3340,11,4
69,5,4,11,181,8200,8230,8226,8210,8237,8100,8139,8135,3040,0,1026,3165,2421,3108,3363,4,7
266,6,3,10,152,8000,8010,9111,9105,8299,8400,8451,8444,2055,3047,3071,3812,3065,1054,3364,4,12
222,4,6,5,195,8000,8008,8009,9103,8014,8200,8233,8236,1018,3006,3094,3031,3123,1038,3363,7,4
875,4,4,6,119,8000,8010,9111,9104,8299,8400,8446,8444,2055,1054,3153,3047,3123,3078,3363,14,4
16,1,21,2,24,8200,8214,8226,8210,8237,8400,8473,8453,3853,3158,3174,3504,3801,3114,3364,4,7
85,16,8,4,223,8000,8010,9111,9104,8014,8100,8139,8135,3907,3152,3157,3020,3102,1026,3364,12,4
203,12,14,5,27,8000,8010,9111,9104,8014,8200,8275,8232,3071,3144,3085,3047,1412,1043,3364,11,4
42,10,11,4,179,8000,8021,8009,9103,8014,8300,8345,8304,3020,3078,3042,3094,1018,1055,3340,12,4
110,4,9,7,157,8200,8229,8226,8210,8236,8000,8009,8014,2033,3142,3158,3134,1028,3179,3363,4,12
30,8,8,11,31,8100,8128,8126,8138,8135,8300,8304,8347,1402,3089,0,3020,3165,0,3364,4,11
62,3,5,6,202,8000,8010,9111,9104,8299,8300,8304,8345,3077,0,3123,3812,3047,3071,3340,12,4
875,4,4,10,129,8200,8230,8275,8234,8232,8400,8451,8473,1055,1055,3153,3047,3067,3044,3340,4,14
161,5,7,9,25,8200,8229,8226,8210,8236,8100,8126,8105,3136,1026,3905,3853,2055,3117,3364,21,4
79,5,16,6,24,8400,8439,8463,8473,8453,8300,8313,8345,3859,3193,3800,2055,3158,3067,3364,4,3
21,7,12,7,176,8000,8005,9101,9103,8014,8200,8275,8236,3155,3508,3140,1055,3031,3006,3363,7,4
266,11,6,2,192,8000,8010,9111,9105,8299,8400,8473,8453,3812,3053,3071,0,3047,0,3363,4,12
421,11,9,3,25,8100,9923,8126,8138,8105,8200,8275,8232,1400,3111,3026,3071,3155,0,3364,4,11
105,9,9,6,162,8100,8112,8143,8138,8106,8300,8316,8352,2033,3152,3157,3158,3100,2055,3364,4,14
86,0,1,4,97,8000,8010,9111,9105,8014,8200,8275,8234,1054,2031,3044,3101,3006,0,3340,14,4
42,3,2,7,122,8000,8008,8009,9103,8014,8300,8304,8345,1054,1083,3004,1028,3057,2422,3340,12,4
432,0,11,5,16,8400,8465,8463,8473,8453,8100,8105,8126,3009,1031,1011,3859,0,0,3364,14,4
81,4,2,3,112,8000,8010,8009,9103,8014,8200,8226,8210,2031,3042,3057,3158,1055,3024,3340,7,4
104,5,4,4,23,8200,8230,8275,8233,8232,8000,9111,9104,3071,0,0,0,1412,3047,3364,11,4
131,11,2,2,123,8000,8010,9111,9104,8299,8100,8143,8135,1056,1058,1058,3115,3027,3020,3364,4,14
110,5,6,3,109,8200,8229,8226,8210,8237,8300,8345,8352,2033,1055,3179,1001,3814,1036,3340,4,7
203,3,8,4,18,8000,8010,9111,9104,8014,8100,8143,8105,3153,1412,2031,0,1001,0,3513,11,4
555,3,8,2,24,8400,8439,8446,8473,8242,8000,9111,9105,3117,3179,3855,3134,2055,1036,3364,14,4
266,1,3,1,136,8000,8010,9111,9104,8299,8400,8446,8473,1083,3047,3071,1054,3035,1036,3340,12,4
240,1,1,7,111,8000,8010,9111,9104,8299,8200,8236,8210,3077,1055,3117,3134,0,1037,3340,4,14
81,2,0,1,134,8000,8010,9111,9103,8014,8300,8313,8345,1055,2424,3004,3057,3158,3123,3340,7,4
62,2,2,4,119,8000,8010,9111,9105,8299,8400,8473,8446,1053,1055,3078,3134,1001,0,3340,4,12
104,2,0,3,25,8200,8230,8275,8233,8232,8000,9111,9104,2031,3067,1036,3044,1412,3047,3364,11,4
50,0,4,2,24,8100,8112,8126,8138,8106,8200,8210,8237,3859,3136,1001,2055,1026,0,3364,4,14
497,1,4,1,21,8400,8465,8446,8473,8242,8200,8275,8236,3860,3050,2031,3158,3114,2055,3364,4,14
203,0,2,3,3,8000,8005,9111,9104,8014,8100,8143,8105,1412,3047,2055,1036,1036,0,3364,11,4
