24,2,4,3,125,"('8000', '8010', '9111', '9104', '8299')","('8400', '8473', '8446')","(2033, 1036, 1036, 2055, 3047, 3078)",3340,"('4', '12')"
81,3,3,5,171,"('8000', '8010', '8009', '9103', '8014')","('8200', '8226', '8210')","(1055, 1083, 3158, 3004, 3057, 3101)",3363,"('4', '12')"
432,3,7,2,11,"('8100', '8112', '8139', '8136', '8105')","('8200', '8232', '8234')","(3158, 3107, 3853, 2055, 3145, 0)",3364,"('4', '14')"
48,1,6,6,14,"('8000', '8005', '9111', '9104', '8014')","('8200', '8275', '8232')","(2031, 2055, 3047, 3067, 1401, 1031)",3364,"('11', '4')"
13,1,5,2,140,"('8200', '8230', '8226', '8210', '8232')","('8100', '8139', '8135')","(3916, 3040, 1001, 0, 0, 0)",3340,"('4', '12')"
523,2,5,3,195,"('8000', '8010', '9101', '9103', '8014')","('8200', '8275', '8236')","(3006, 3031, 3085, 1018, 1055, 0)",3363,"('4', '21')"
350,3,14,1,2,"('8200', '8229', '8226', '8210', '8236')","('8000', '8009', '8017')","(3174, 3853, 1058, 1058, 0, 3041)",3364,"('7', '3')"
203,3,8,3,27,"('8000', '8010', '9111', '9103', '8299')","('8200', '8275', '8232')","(1412, 0, 3153, 1001, 1038, 0)",3364,"('4', '11')"
42,9,3,0,191,"('8000', '8008', '8009', '9103', '8299')","('8300', '8304', '8345')","(3078, 3020, 2055, 3042, 3094, 1054)",3363,"('4', '12')"
266,1,4,3,157,"('8000', '8010', '9111', '9104', '8299')","('8400', '8473', '8451')","(3133, 3071, 3047, 3105, 1054, 1036)",3340,"('4', '12')"
201,1,7,3,26,"('8400', '8465', '8463', '8473', '8451')","('8300', '8313', '8316')","(3047, 1028, 0, 3857, 0, 3193)",3513,"('4', '14')"
236,5,3,4,148,"('8000', '8005', '8009', '9104', '8014')","('8300', '8304', '8345')","(3508, 3153, 0, 1055, 2422, 1042)",3363,"('3', '4')"
105,13,1,0,124,"('8100', '8112', '8143', '8138', '8135')","('8000', '9111', '8014')","(3057, 3152, 3157, 3020, 3041, 1052)",3364,"('14', '4')"
122,2,1,2,138,"('8000', '8010', '9111', '9105', '8299')","('8200', '8275', '8234')","(1054, 3078, 0, 3052, 3047, 0)",3364,"('6', '4')"
64,0,7,3,16,"('8000', '8010', '9111', '9104', '8014')","('8200', '8275', '8210')","(1412, 2031, 2055, 3111, 3134, 3155)",3340,"('4', '11')"
12,1,7,5,30,"('8400', '8439', '8446', '8473', '8451')","('8300', '8306', '8345')","(3117, 3800, 2031, 3860, 2055, 0)",3364,"('14', '4')"
134,1,2,6,136,"('8200', '8229', '8226', '8210', '8237')","('8100', '8139', '8135')","(2420, 3285, 0, 1056, 1056, 1001)",3340,"('4', '14')"
28,2,5,2,6,"('8100', '8112', '8143', '8138', '8105')","('8200', '8233', '8236')","(1402, 3041, 3020, 0, 0, 0)",3363,"('4', '11')"
18,5,2,4,122,"('8100', '9923', '8139', '8138', '8135')","('8000', '9101', '9104')","(3006, 3153, 3086, 1037, 1055, 0)",3340,"('3', '4')"
875,3,2,4,107,"('8000', '8010', '9111', '9104', '8299')","('8300', '8304', '8347')","(3153, 2031, 3044, 1054, 1042, 2422)",3340,"('12', '4')"
14,2,2,4,99,"('8400', '8437', '8401', '8429', '8451')","('8100', '8126', '8134')","(1054, 3068, 1028, 0, 3047, 1006)",3340,"('4', '12')"
48,3,2,1,37,"('8200', '8230', '8275', '8234', '8232')","('8000', '9111', '9104')","(1401, 2031, 2055, 3076, 1028, 3047)",3364,"('4', '11')"
134,1,4,3,145,"('8200', '8230', '8226', '8210', '8237')","('8300', '8304', '8345')","(2031, 3030, 3020, 1052, 1082, 1056)",3340,"('4', '12')"
432,2,4,4,28,"('8400', '8465', '8463', '8444', '8453')","('8100', '8134', '8136')","(3009, 3174, 0, 3860, 0, 0)",3364,"('4', '14')"
110,3,4,4,126,"('8200', '8229', '8226', '8210', '8237')","('8000', '8017', '8009')","(3179, 2033, 3134, 1036, 1001, 3123)",3340,"('12', '4')"
58,4,0,3,147,"('8000', '8010', '9111', '9104', '8299')","('8400', '8446', '8473')","(2031, 3153, 0, 3071, 1055, 3047)",3340,"('4', '12')"
15,3,7,4,133,"('8000', '8008', '8009', '9103', '8017')","('8200', '8275', '8236')","(1055, 2031, 3508, 1083, 1001, 1029)",3363,"('4', '1')"
350,3,10,1,9,"('8200', '8214', '8226', '8233', '8237')","('8000', '8009', '8017')","(3853, 3174, 0, 0, 3113, 3114)",3364,"('14', '7')"
61,2,2,2,180,"('8300', '8360', '8304', '8345', '8352')","('8200', '8237', '8226')","(2033, 0, 1082, 3020, 3916, 3285)",3363,"('12', '4')"
2,4,7,1,25,"('8000', '8010', '9111', '9104', '8014')","('8200', '8275', '8232')","(1412, 2031, 0, 3047, 3071, 0)",3364,"('11', '4')"
117,2,21,2,29,"('8400', '8465', '8463', '8473', '8453')","('8300', '8345', '8347')","(2055, 3107, 3860, 3050, 3158, 3504)",3364,"('4', '14')"
523,8,12,7,266,"('8000', '8010', '9101', '9103', '8014')","('8200', '8275', '8236')","(3139, 3046, 3085, 3006, 3123, 3031)",3363,"('4', '7')"
55,12,9,10,176,"('8000', '8010', '9111', '9105', '8014')","('8100', '8139', '8135')","(3146, 3157, 3135, 3151, 0, 3020)",3364,"('4', '14')"
35,8,12,7,54,"('8100', '9923', '8143', '8138', '8105')","('8200', '8236', '8233')","(3077, 3142, 3006, 3147, 3814, 3035)",3364,"('11', '14')"
6,8,8,3,216,"('8000', '8005', '9111', '9105', '8299')","('8400', '8473', '8401')","(3194, 3075, 3812, 3047, 3071, 1036)",3340,"('12', '4')"
34,5,14,4,224,"('8300', '8360', '8313', '8345', '8352')","('8000', '8009', '9104')","(3151, 3157, 1058, 3111, 3802, 3165)",3363,"('14', '4')"
16,1,23,7,39,"('8400', '8465', '8463', '8473', '8453')","('8300', '8345', '8304')","(3174, 3158, 0, 3860, 3114, 3107)",3364,"('4', '7')"
134,12,9,6,284,"('8100', '8112', '8139', '8138', '8135')","('8200', '8210', '8226')","(3089, 3907, 3916, 3135, 3020, 3285)",3363,"('12', '4')"
164,3,8,12,167,"('8000', '8010', '9111', '9104', '8014')","('8400', '8401', '8473')","(1055, 3074, 2420, 3047, 1028, 3078)",3364,"('12', '4')"
141,8,14,9,78,"('8100', '8128', '8143', '8138', '8105')","('8200', '8275', '8236')","(1400, 3076, 3065, 3071, 3111, 3053)",3364,"('4', '11')"
53,1,3,3,30,"('8400', '8439', '8446', '8473', '8451')","('8000', '8009', '9105')","(3117, 0, 2055, 3855, 0, 3107)",3364,"('4', '14')"
236,2,4,5,116,"('8000', '8005', '8009', '9104', '8014')","('8200', '8275', '8236')","(1055, 3153, 2055, 1001, 1038, 1036)",3340,"('7', '4')"
62,3,0,2,152,"('8000', '8010', '9111', '9105', '8299')","('8300', '8304', '8345')","(1054, 3077, 1036, 3071, 1036, 3111)",3340,"('4', '12')"
68,1,1,4,161,"('8100', '8112', '8139', '8138', '8135')","('8200', '8275', '8236')","(3151, 2031, 1052, 3020, 1054, 1082)",3340,"('4', '12')"
