145,13,9,5,202,"('8100', '9923', '8139', '8138', '8135')","('8000', '8009', '9103')","(2421, 3123, 3124, 3006, 3042, 3115)",3363,"('4', '7')"
134,2,10,5,200,"('8100', '8112', '8139', '8138', '8135')","('8200', '8226', '8210')","(3030, 3916, 1056, 3135, 3020, 1026)",3363,"('4', '12')"
555,6,11,3,39,"('8400', '8439', '8446', '8473', '8242')","('8000', '8009', '9105')","(3857, 3134, 3142, 3156, 3117, 1037)",3364,"('14', '4')"
23,5,7,10,149,"('8000', '8008', '9111', '9104', '8299')","('8200', '8275', '8210')","(3031, 3077, 2055, 3006, 3508, 3101)",3340,"('4', '6')"
76,5,12,7,18,"('8100', '8128', '8143', '8138', '8135')","('8300', '8347', '8304')","(1414, 2055, 3157, 3047, 3174, 1052)",3340,"('11', '4')"
25,5,8,7,136,"('8300', '8351', '8313', '8316', '8347')","('8100', '8139', '8134')","(3157, 3030, 0, 1028, 1056, 3020)",3363,"('4', '14')"
235,1,13,8,35,"('8400', '8437', '8463', '8473', '8451')","('8000', '8009', '9104')","(3864, 3022, 2055, 3047, 3044, 1028)",3363,"('7', '4')"
121,13,7,5,20,"('8000', '8010', '9111', '9105', '8014')","('8100', '8143', '8135')","(1412, 3111, 2420, 3814, 3147, 3156)",3364,"('11', '4')"
875,3,6,7,216,"('8000', '8010', '9111', '9104', '8299')","('8300', '8304', '8347')","(3153, 3078, 1033, 3047, 1057, 3211)",3340,"('12', '4')"
7,8,5,4,185,"('8100', '8112', '8139', '8136', '8135')","('8200', '8226', '8210')","(3111, 1052, 2055, 3285, 3102, 1058)",3364,"('14', '4')"
79,2,18,8,46,"('8400', '8439', '8463', '8473', '8453')","('8300', '8345', '8347')","(3050, 3107, 2421, 3860, 3158, 3067)",3364,"('4', '14')"
157,6,11,7,221,"('8000', '8010', '9111', '9104', '8014')","('8100', '8139', '8135')","(3153, 3046, 3031, 3006, 1053, 3105)",3363,"('3', '4')"
266,6,8,4,191,"('8000', '8010', '9111', '9105', '8299')","('8400', '8473', '8451')","(1054, 3047, 3071, 3812, 3067, 3052)",3364,"('4', '12')"
92,9,9,3,54,"('8000', '8010', '9111', '9104', '8299')","('8300', '8304', '8347')","(2055, 3812, 1412, 3047, 3071, 3026)",3364,"('11', '4')"
55,13,13,5,177,"('8000', '8010', '9111', '9105', '8014')","('8100', '8143', '8135')","(3146, 3020, 1082, 2421, 3151, 3812)",3340,"('14', '4')"
223,1,10,6,31,"('8400', '8465', '8463', '8473', '8451')","('8300', '8316', '8313')","(3109, 3047, 3193, 0, 3860, 2055)",3364,"('4', '3')"
110,7,8,6,243,"('8200', '8229', '8226', '8210', '8237')","('8000', '8009', '8014')","(2421, 3179, 3142, 3814, 3158, 3033)",3363,"('4', '7')"
64,5,9,6,48,"('8000', '8010', '9111', '9104', '8014')","('8100', '8135', '8143')","(1412, 3071, 2055, 3111, 3052, 1037)",3340,"('11', '4')"
62,6,9,9,196,"('8000', '8010', '9111', '9104', '8299')","('8300', '8345', '8304')","(3812, 3077, 3123, 3078, 3047, 3052)",3340,"('4', '12')"
68,7,11,9,234,"('8100', '8124', '8139', '8120', '8134')","('8200', '8234', '8224')","(3151, 3165, 2421, 3020, 3157, 1052)",3340,"('14', '4')"
421,10,8,1,23,"('8000', '8010', '9111', '9104', '8299')","('8200', '8275', '8232')","(1400, 3044, 3047, 2055, 3067, 3814)",3364,"('4', '11')"
78,2,13,6,28,"('8400', '8439', '8463', '8429', '8451')","('8300', '8306', '8316')","(3857, 3109, 3024, 3801, 3801, 3009)",3364,"('3', '4')"
245,10,7,0,153,"('8100', '8112', '8143', '8138', '8135')","('8200', '8233', '8236')","(3152, 2033, 3100, 3041, 3111, 1058)",3363,"('12', '4')"
1,1,6,1,156,"('8200', '8229', '8226', '8233', '8237')","('8100', '8139', '8105')","(3152, 1056, 1026, 2031, 0, 3020)",3340,"('4', '14')"
